2022-05-20 15:05:114 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (637b564ced47eed53c51b52a86fb2eab)] -> tag name: h1]<br>
2022-05-20 15:05:900 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:266 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:525 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:673 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:185 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:418 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:836 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:965 INFO  HomePage :78 - Enter max Salary 45000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:70 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:200 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:343 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:102 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (548c67317362305cbfb8f784bb54492f)] -> tag name: h1]<br>
2022-05-20 15:05:519 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:247 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:601 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:926 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:221 INFO  HomePage :66 - Select distance up to 15 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:315 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:777 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:964 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:119 INFO  HomePage :82 - Select Salary Type Per annum from salary type dropdown [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:224 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (0995c464f4316326523ea3b0d8f834d8)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:347 INFO  HomePage :54 - Click on find job button : 
